diseases,medicine_1,medicine_2,medicine_3,side_effects
Polycystic Ovarian Syndrome (PCOS),Metformin, Ethinylestradiol, Cyproterone Acetate,"Irregular periods, Excess hair growth, Acne, Weight gain, Thinning hair, Infertility"
Encephalitis,Acyclovir, Ganciclovir, Dexamethasone,"Fever, Headache, Confusion, Seizures, Stiff neck, Sensitivity to light"
Cyst of the Eyelid,Triamcinolone injection; surgical excision,,,"Swollen eyelid, Painless lump, Redness, Tenderness, Blurred vision if large"
Balanitis,Clotrimazole, Miconazole, Fluconazole,"Redness, Swelling, Discharge, Itching, Pain, Foul smell"
Foreign Body in the Throat,No drug; mechanical removal,,,"Choking, Difficulty swallowing, Gagging, Coughing, Throat pain, Drooling"
Drug Abuse (Cocaine),No antidote; Lorazepam, Propranolol (for symptoms),,"Euphoria, Increased energy, Paranoia, Rapid heartbeat, Nosebleeds, Weight loss"
Optic Neuritis,Methylprednisolone, Interferon Beta-1a,,"Eye pain, Vision loss, Color vision changes, Flashing lights, Blurred vision"
Alcohol Withdrawal,Diazepam, Lorazepam, Chlordiazepoxide,"Tremors, Sweating, Anxiety, Nausea, Insomnia, Seizures"
Premature Atrial Contractions (PACs),Metoprolol, Atenolol, Verapamil,"Palpitations, Fluttering, Skipped beats, Dizziness, Chest discomfort"
Hemiplegia,Aspirin, Clopidogrel, Alteplase,"One-sided paralysis, Muscle weakness, Spasticity, Difficulty walking, Speech problems"
Hammer Toe,Ibuprofen, Naproxen; surgical correction,,"Toe deformity, Pain, Corns, Calluses, Difficulty wearing shoes, Swelling"
Open Wound of the Cheek,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Bruising, Tissue damage, Scarring"
Joint Effusion,Triamcinolone, Methylprednisolone, Ibuprofen,"Joint swelling, Pain, Stiffness, Warmth, Limited movement"
Open Wound of the Knee,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Limited movement, Bruising"
Meningioma,Dexamethasone, Mifepristone; surgical resection,,"Headaches, Seizures, Vision changes, Weakness, Hearing loss, Memory problems"
Brain Cancer,Temozolomide, Bevacizumab, Carmustine,"Headaches, Seizures, Vision changes, Personality changes, Cognitive decline, Nausea"
Placental Abruption,Oxytocin, Magnesium Sulfate, Betamethasone,"Sudden abdominal pain, Vaginal bleeding, Uterine rigidity, Back pain, Fetal distress"
Seasonal Allergies (Hay Fever),Cetirizine, Loratadine, Fexofenadine,"Sneezing, Runny nose, Itchy eyes, Congestion, Postnasal drip, Fatigue"
Lung Cancer,Cisplatin, Carboplatin, Paclitaxel,"Persistent cough, Coughing blood, Shortness of breath, Chest pain, Hoarseness, Weight loss"
Primary Kidney Disease,Ramipril, Losartan, Furosemide,"Swelling, Fatigue, Blood in urine, Foamy urine, High blood pressure, Reduced urination"
Uterine Cancer,Carboplatin, Paclitaxel, Medroxyprogesterone,"Abnormal vaginal bleeding, Pelvic pain, Watery discharge, Painful urination, Weight loss"
Dry Eye of Unknown Cause,Cyclosporine (Restasis), Lifitegrast, Artificial Tears,"Burning, Stinging, Redness, Blurred vision, Sensitivity to light, Eye fatigue"
Fibrocystic Breast Disease,Ibuprofen, Danazol, Bromocriptine,"Breast lumps, Breast pain, Tenderness, Nipple discharge, Swelling before period"
Fungal Infection of the Hair,Griseofulvin, Terbinafine, Itraconazole,"Scaly patches, Hair loss, Itching, Redness, Brittle hair, Bald spots"
Tooth Abscess,Amoxicillin, Metronidazole, Clindamycin,"Severe toothache, Swelling, Fever, Bitter taste, Swollen lymph nodes, Sensitivity"
Envenomation from Spider or Animal Bite,Antivenom, Methylprednisolone, Tetanus Toxoid,"Pain at bite site, Swelling, Redness, Nausea, Muscle cramps, Fever"
VACTERL Syndrome,No specific drug; supportive medications for each defect,,,"Vertebral defects, Cardiac defects, Tracheoesophageal fistula, Renal anomalies, Limb defects"
Vertebrobasilar Insufficiency,Aspirin, Clopidogrel, Atorvastatin,"Dizziness, Double vision, Slurred speech, Difficulty swallowing, Coordination problems"
Rectal Disorder,Hydrocortisone, Mesalazine, Metronidazole,"Rectal pain, Bleeding, Discharge, Itching, Constipation, Diarrhea"
Atonic Bladder,Bethanechol, Neostigmine,,"Difficulty urinating, Weak stream, Frequent UTIs, Overflow incontinence, Bladder fullness"
Benign Paroxysmal Positional Vertigo (BPPV),Meclizine, Dimenhydrinate; Epley maneuver,,"Brief vertigo episodes, Dizziness with head movement, Nausea, Nystagmus, Imbalance"
Blepharospasm,Botulinum Toxin Type A, Clonazepam, Trihexyphenidyl,"Involuntary eyelid blinking, Eye irritation, Sensitivity to light, Difficulty opening eyes"
Sarcoidosis,Prednisone, Hydroxychloroquine, Methotrexate,"Fatigue, Shortness of breath, Cough, Skin lesions, Swollen lymph nodes, Fever"
Metastatic Cancer,Depends on primary; Pembrolizumab, Nivolumab, Cisplatin,"Pain at metastasis site, Fatigue, Weight loss, Loss of appetite, Organ dysfunction"
Trigger Finger,Triamcinolone, Methylprednisolone; surgical release,,"Finger stiffness, Clicking, Locking, Pain at base of finger, Swelling"
Stye (Hordeolum),Erythromycin ointment, Bacitracin, Tobramycin drops,"Painful eyelid lump, Redness, Swelling, Tearing, Light sensitivity, Discharge"
Hemochromatosis,Deferoxamine, Deferasirox, Deferiprone,"Fatigue, Joint pain, Abdominal pain, Skin bronzing, Diabetes, Liver disease"
Osteochondroma,Ibuprofen, Naproxen; surgical excision,,"Bone lump, Pain, Limited joint movement, Numbness, Weakness if nerve compressed"
Cushing Syndrome,Ketoconazole, Metyrapone, Mifepristone,"Weight gain, Moon face, Buffalo hump, Stretch marks, Easy bruising, High blood pressure"
Typhoid Fever,Ciprofloxacin, Ceftriaxone, Azithromycin,"High fever, Headache, Abdominal pain, Constipation or diarrhea, Rose spots, Weakness"
Vitreous Degeneration,No drug; vitrectomy if severe,,,"Floaters, Flashes of light, Blurred vision, Shadow in vision"
Atrophic Skin Condition,Tretinoin, Retinol, Urea,"Thin skin, Fragility, Wrinkles, Dryness, Bruising, Skin tears"
Aspergillosis,Voriconazole, Isavuconazole, Amphotericin B,"Cough, Shortness of breath, Fever, Chest pain, Coughing blood, Wheezing"
Uterine Atony,Oxytocin, Misoprostol, Ergometrine,"Heavy postpartum bleeding, Soft uterus, Abdominal pain, Signs of hemorrhage"
Trichinosis,Albendazole, Mebendazole, Prednisone,"Diarrhea, Abdominal pain, Muscle pain, Fever, Swollen eyes, Fatigue"
Whooping Cough (Pertussis),Azithromycin, Clarithromycin, Erythromycin,"Severe coughing fits, Whooping sound, Vomiting after coughing, Runny nose, Mild fever"
Open Wound of the Lip,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Bruising"
Subacute Thyroiditis,Ibuprofen, Naproxen, Prednisone,"Neck pain, Thyroid tenderness, Fever, Fatigue, Temporary hyperthyroidism then hypothyroidism"
Oral Mucosal Lesion,Triamcinolone Acetonide, Lidocaine, Chlorhexidine,"Mouth sores, Pain, White or red patches, Bleeding, Difficulty eating"
Open Wound due to Trauma,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Bruising, Tissue damage"
Intracerebral Hemorrhage,Labetalol, Nicardipine, Vitamin K,"Sudden severe headache, Weakness, Numbness, Speech problems, Vision changes, Confusion"
Alzheimer Disease,Donepezil, Rivastigmine, Galantamine,"Memory loss, Confusion, Difficulty with language, Disorientation, Personality changes, Poor judgment"
Vaginismus,Botulinum Toxin Type A, Diazepam (vaginal), Lidocaine gel,"Painful intercourse, Involuntary vaginal muscle spasms, Difficulty with penetration, Anxiety"
Systemic Lupus Erythematosus (SLE),Hydroxychloroquine, Prednisone, Azathioprine,"Butterfly rash, Joint pain, Fatigue, Fever, Kidney problems, Hair loss"
Premature Ovarian Failure,Estradiol, Progesterone, Calcium Carbonate,"Irregular periods, Hot flashes, Night sweats, Infertility, Vaginal dryness, Mood changes"
Thoracic Outlet Syndrome,Ibuprofen, Naproxen, Gabapentin; surgical decompression,"Arm pain, Numbness, Tingling, Weakness, Neck pain, Shoulder pain"
Ganglion Cyst,Triamcinolone; aspiration or surgical excision,,,"Visible lump, Pain, Tingling, Muscle weakness, Limited joint movement"
Dislocation of the Knee,Ibuprofen, Morphine; surgical ligament repair,,"Severe knee pain, Deformity, Swelling, Inability to move, Neurovascular compromise"
Crohn Disease,Mesalazine, Prednisone, Azathioprine,"Abdominal pain, Diarrhea, Weight loss, Fatigue, Fever, Rectal bleeding"
Postoperative Infection,Amoxicillin-Clavulanate, Vancomycin, Piperacillin-Tazobactam,"Wound redness, Swelling, Discharge, Fever, Pain, Warmth"
Folate Deficiency,Folic Acid,,,"Fatigue, Weakness, Mouth sores, Gray hair, Swollen tongue, Anemia symptoms"
Fluid Overload,Furosemide, Bumetanide, Spironolactone,"Swelling, Shortness of breath, Weight gain, High blood pressure, Crackles in lungs"
Atrial Flutter,Metoprolol, Diltiazem, Verapamil,"Palpitations, Rapid heartbeat, Dizziness, Shortness of breath, Chest pain, Fatigue"
Skin Disorder,Treat cause; Hydrocortisone, Betamethasone, Tacrolimus,"Rash, Itching, Redness, Swelling, Blisters, Scaling"
Floaters,No drug; vitrectomy if severe,,,"Spots in vision, Strings, Cobwebs, Moving shadows"
Tooth Disorder,Amoxicillin, Ibuprofen, Fluoride,"Toothache, Sensitivity, Swelling, Bad breath, Loose teeth"
Heart Attack (MI),Aspirin, Clopidogrel, Atenolol,"Chest pain, Arm pain, Shortness of breath, Sweating, Nausea, Jaw pain"
Open Wound of the Abdomen,Amoxicillin-Clavulanate, Metronidazole, Morphine,"Pain, Bleeding, Swelling, Tissue damage, Shock if severe"
Fracture of the Leg,Ibuprofen, Acetaminophen, Morphine,"Leg pain, Swelling, Deformity, Inability to bear weight, Bruising, Tenderness"
Oral Thrush (Yeast Infection),Nystatin, Fluconazole, Clotrimazole,"White patches in mouth, Soreness, Difficulty swallowing, Loss of taste, Redness"
Pityriasis Rosea,Cetirizine, Hydrocortisone, Acyclovir (severe cases),"Pink oval rash, Herald patch, Itching, Mild fever, Fatigue, Scaling"
Allergy to Animals,Cetirizine, Loratadine, Fexofenadine,"Sneezing, Runny nose, Itchy eyes, Skin rash, Asthma symptoms, Congestion"
Orthostatic Hypotension,Fludrocortisone, Midodrine, Droxidopa,"Dizziness when standing, Lightheadedness, Fainting, Blurred vision, Weakness"
Obstructive Sleep Apnea (OSA),No drug; CPAP; Modafinil for residual sleepiness,,,"Loud snoring, Gasping during sleep, Morning headache, Daytime sleepiness, Insomnia"
Hypokalemia,Potassium Chloride, Spironolactone, Amiloride,"Muscle weakness, Cramps, Constipation, Palpitations, Fatigue, Numbness"
Psoriasis,Betamethasone, Calcipotriol, Methotrexate,"Red scaly patches, Itching, Dry cracked skin, Nail changes, Joint pain, Burning"
Dislocation of the Shoulder,Ibuprofen, Diazepam, Morphine; reduction procedure,"Shoulder pain, Deformity, Swelling, Numbness, Muscle spasms, Limited movement"
Intussusception,No drug; enema reduction or surgical correction,,,"Sudden severe abdominal pain, Vomiting, Bloody stool, Lump in abdomen, Lethargy"
Cervicitis,Azithromycin, Ceftriaxone, Doxycycline,"Vaginal discharge, Bleeding between periods, Pain during intercourse, Pelvic pain"
Abscess of the Pharynx,Penicillin G, Clindamycin, Metronidazole,"Severe sore throat, Difficulty swallowing, Fever, Neck pain, Drooling, Muffled voice"
Primary Thrombocythemia,Aspirin, Hydroxyurea, Anagrelide,"Headache, Dizziness, Chest pain, Redness of hands, Blood clots, Bleeding"
Arthritis of the Hip,Ibuprofen, Naproxen, Celecoxib,"Hip pain, Stiffness, Reduced range of motion, Limping, Groin pain, Difficulty walking"
Decubitus Ulcer,Hydrocolloid dressings, Silver Sulfadiazine, Collagenase,"Skin redness, Open sore, Tissue breakdown, Pain, Infection, Odor"
Hypernatremia,Dextrose 5% in Water (D5W), Normal Saline 0.45%,,"Extreme thirst, Confusion, Agitation, Muscle twitching, Seizures, Coma if severe"
Sensorineural Hearing Loss,Prednisone, Methylprednisolone (sudden onset),,"Hearing loss, Difficulty with speech, Tinnitus, Balance problems, Difficulty hearing in noise"
Chronic Ulcer,Silver Sulfadiazine, Bacitracin, Collagenase,"Persistent sore, Pain, Bleeding, Infection, Slow healing, Discharge"
Osteoporosis,Alendronate, Risedronate, Denosumab,"Back pain, Height loss, Stooped posture, Easy fractures, Bone fragility"
Ileus,Neostigmine (paralytic ileus), Metoclopramide,,"Abdominal distension, No bowel sounds, Nausea, Vomiting, Constipation, Abdominal pain"
Sickle Cell Crisis,Morphine, Hydroxyurea, Oxygen,"Severe pain, Swelling, Fever, Fatigue, Shortness of breath, Jaundice"
Urethritis,Azithromycin, Ceftriaxone, Doxycycline,"Painful urination, Discharge, Frequency, Urgency, Itching, Burning"
Prostatitis,Ciprofloxacin, Levofloxacin, Tamsulosin,"Pelvic pain, Painful urination, Frequency, Urgency, Fever, Painful ejaculation"
Otitis Externa (Swimmer's Ear),Ciprofloxacin + Hydrocortisone ear drops, Acetic Acid,,"Ear pain, Itching, Discharge, Hearing loss, Swelling, Redness"
Poisoning due to Anticonvulsants,Activated Charcoal, Naloxone, Flumazenil,"Drowsiness, Dizziness, Ataxia, Nausea, Blurred vision, Confusion"
Testicular Torsion,No drug; emergency surgery,,,"Sudden severe testicular pain, Swelling, Nausea, Vomiting, Abdominal pain"
Tricuspid Valve Disease,Furosemide, Spironolactone; surgical repair,,"Fatigue, Swelling, Palpitations, Shortness of breath, Abdominal discomfort, Jaundice"
Urethral Stricture,Lidocaine gel; urethral dilation or urethroplasty,,,"Weak urine stream, Straining, Incomplete emptying, Frequent UTIs, Spraying urine"
Vitamin D Deficiency,Cholecalciferol (Vitamin D3), Ergocalciferol (Vitamin D2), Calcium,"Bone pain, Muscle weakness, Fatigue, Depression, Frequent infections, Hair loss"
Hydatidiform Mole,Methotrexate, Actinomycin D,,"Vaginal bleeding, Nausea, Vomiting, Uterine enlargement, No fetal movement, Hypertension"
Pain Disorder Affecting the Neck,Ibuprofen, Naproxen, Cyclobenzaprine,"Neck pain, Stiffness, Headache, Radiating arm pain, Limited movement, Muscle spasms"
Tuberculosis,Rifampicin, Isoniazid, Pyrazinamide,"Persistent cough, Coughing blood, Night sweats, Weight loss, Fever, Fatigue"
Pelvic Fistula,Metronidazole, Amoxicillin-Clavulanate; surgical repair,,"Urinary or fecal leakage, Recurrent infections, Pelvic pain, Vaginal discharge"
Acute Bronchiolitis,Epinephrine (nebulized), Oxygen, Saline (hypertonic),"Wheezing, Cough, Rapid breathing, Fever, Runny nose, Poor feeding in infants"
Presbyopia,No drug; corrective lenses,,,"Difficulty reading close text, Needing to hold text far, Eye strain, Headaches"
Dementia,Donepezil, Rivastigmine, Galantamine,"Memory loss, Confusion, Language problems, Disorientation, Behavioral changes, Difficulty with daily tasks"
Insect Bite,Cetirizine, Diphenhydramine, Hydrocortisone,"Pain, Swelling, Redness, Itching, Blister, Allergic reaction if severe"
Paroxysmal Ventricular Tachycardia,Amiodarone, Lidocaine, Sotalol,"Rapid heartbeat, Palpitations, Dizziness, Shortness of breath, Chest pain, Fainting"
Congenital Heart Defect,Prostaglandin E1, Digoxin, Furosemide; surgery,"Bluish skin, Rapid breathing, Fatigue, Poor weight gain, Heart murmur, Swollen legs"
Connective Tissue Disorder,Prednisone, Methotrexate, Hydroxychloroquine,"Joint hypermobility, Skin problems, Fatigue, Pain, Organ involvement, Easy bruising"
Foreign Body in the Eye,Artificial Tears, Moxifloxacin; mechanical removal,,"Eye pain, Redness, Tearing, Blurred vision, Feeling of something in eye"
Poisoning due to Gas,Oxygen 100%, Hydroxocobalamin (cyanide), N-Acetylcysteine,"Headache, Dizziness, Nausea, Confusion, Loss of consciousness, Chest pain"
Pyogenic Skin Infection,Cloxacillin, Clindamycin, Mupirocin,"Redness, Swelling, Warmth, Pus, Pain, Fever"
Endometrial Hyperplasia,Medroxyprogesterone, Norethisterone, Levonorgestrel IUD,"Abnormal uterine bleeding, Heavy periods, Spotting, Pelvic pain"
Acanthosis Nigricans,Metformin, Tretinoin, Salicylic Acid,"Dark velvety skin patches, Usually in skin folds, Itching, Skin thickening"
Central Atherosclerosis,Atorvastatin, Rosuvastatin, Aspirin,"Chest pain, Shortness of breath, Fatigue, Stroke symptoms, Heart attack symptoms"
Viral Exanthem,Acetaminophen, Ibuprofen, Cetirizine,"Rash, Fever, Fatigue, Sore throat, Runny nose, Swollen lymph nodes"
Noninfectious Gastroenteritis,Oral Rehydration Salts (ORS), Loperamide, Ondansetron,"Nausea, Vomiting, Diarrhea, Abdominal cramps, Bloating, Fever"
Benign Prostatic Hyperplasia (BPH),Tamsulosin, Alfuzosin, Finasteride,"Frequent urination, Weak stream, Urgency, Incomplete emptying, Nocturia, Straining"
Menopause,Estradiol, Progesterone, Tibolone,"Hot flashes, Night sweats, Irregular periods, Vaginal dryness, Mood changes, Sleep problems"
Primary Immunodeficiency,Immunoglobulin G (IVIG), Trimethoprim-Sulfamethoxazole,,"Frequent infections, Severe infections, Poor response to treatment, Failure to thrive"
Ovarian Cancer,Carboplatin, Paclitaxel, Bevacizumab,"Bloating, Pelvic pain, Difficulty eating, Urinary urgency, Fatigue, Back pain"
Cataract,No drug; surgical phacoemulsification,,,"Cloudy vision, Glare, Halos, Faded colors, Poor night vision, Double vision"
Dislocation of the Hip,Morphine, Diazepam; closed reduction,,"Hip pain, Deformity, Shortened leg, Inability to move, Numbness, Swelling"
Spinal Stenosis,Ibuprofen, Naproxen, Pregabalin,"Back pain, Leg pain, Numbness, Weakness, Cramping when walking, Bowel or bladder changes"
Intestinal Obstruction,Metoclopramide, Neostigmine, Morphine; surgical correction,"Abdominal pain, Bloating, Nausea, Vomiting, Constipation, No gas passage"
Heart Contusion,Ibuprofen, Morphine, Metoprolol,"Chest pain, Palpitations, Shortness of breath, EKG changes, Bruising, Fatigue"
Congenital Malformation Syndrome,Supportive drugs based on specific defect,,,"Structural defects, Developmental delay, Organ abnormalities, Growth problems"
Sporotrichosis,Itraconazole, Amphotericin B, Potassium Iodide,"Skin nodules, Painless bumps along lymph channels, Redness, Ulceration"
Lymphangitis,Penicillin G, Clindamycin, Amoxicillin-Clavulanate,"Red streaks on skin, Pain, Swelling, Fever, Enlarged lymph nodes"
Wernicke-Korsakoff Syndrome,Thiamine (Vitamin B1), Glucose,,"Confusion, Eye movement problems, Coordination problems, Memory loss, Confabulation"
Intestinal Disease,Mesalazine, Metronidazole, Prednisone,"Abdominal pain, Diarrhea, Constipation, Bloating, Nausea, Blood in stool"
Acute Bronchitis,Amoxicillin (if bacterial), Salbutamol, Acetaminophen,"Cough, Mucus production, Chest discomfort, Fatigue, Mild fever, Sore throat"
Persistent Vomiting of Unknown Cause,Ondansetron, Metoclopramide, Promethazine,"Repeated vomiting, Nausea, Dehydration, Weight loss, Abdominal discomfort"
Open Wound of the Foot,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Limited mobility, Tissue damage"
Myocarditis,Prednisone, Enalapril, Metoprolol,"Chest pain, Shortness of breath, Fatigue, Palpitations, Fever, Fluid retention"
Preeclampsia,Magnesium Sulfate, Labetalol, Hydralazine,"High blood pressure, Protein in urine, Swelling, Headache, Vision changes, Upper abdominal pain"
Ischemic Heart Disease,Aspirin, Atorvastatin, Metoprolol,"Chest pain, Shortness of breath, Fatigue, Palpitations, Dizziness, Sweating"
Neurofibromatosis,Selumetinib, Carboplatin, Vincristine,"Cafe au lait spots, Neurofibromas, Lisch nodules, Bone deformities, Learning disabilities"
Chickenpox (Varicella),Acyclovir, Valacyclovir, Cetirizine,"Itchy blisters, Fever, Fatigue, Loss of appetite, Headache, General malaise"
Pancreatic Cancer,Gemcitabine, Nab-Paclitaxel, Erlotinib,"Abdominal pain, Jaundice, Weight loss, Loss of appetite, Back pain, New-onset diabetes"
Neuropathy due to Drugs,Gabapentin, Pregabalin, Duloxetine,"Numbness, Tingling, Burning, Weakness, Balance problems, Sensitivity"
Croup (Laryngotracheobronchitis),Dexamethasone, Epinephrine (nebulized), Budesonide,"Barking cough, Stridor, Hoarseness, Fever, Breathing difficulty, Agitation"
Idiopathic Excessive Menstruation,Ibuprofen, Tranexamic Acid, Norethisterone,"Heavy periods, Prolonged bleeding, Cramping, Fatigue, Anemia symptoms"
Amblyopia,No drug; patching, Atropine drops,,"Reduced vision in one eye, Poor depth perception, Squinting, Head tilting, Eye turning"
Meckel Diverticulum,No drug; surgical diverticulectomy,,,"Rectal bleeding, Abdominal pain, Obstruction symptoms, Intussusception, Volvulus"
Dislocation of the Wrist,Ibuprofen, Morphine; reduction and splinting,,"Wrist pain, Deformity, Swelling, Limited movement, Numbness, Tenderness"
Ear Drum Damage,Amoxicillin, Ciprofloxacin ear drops, Ibuprofen,"Ear pain, Hearing loss, Tinnitus, Discharge, Vertigo, Fullness sensation"
Erectile Dysfunction,Sildenafil, Tadalafil, Vardenafil,"Difficulty achieving erection, Difficulty maintaining erection, Reduced sexual desire"
Temporary or Benign Blood in Urine,Treat cause; Ciprofloxacin, Ibuprofen,,"Pink or red urine, Blood clots, Usually painless"
Kidney Disease due to Longstanding Hypertension,Ramipril, Losartan, Furosemide,"Swelling, Fatigue, Reduced urination, Blood in urine, High blood pressure, Protein in urine"
Chondromalacia of the Patella,Ibuprofen, Naproxen, Triamcinolone,"Knee pain, Pain when climbing stairs, Pain when sitting, Grinding sensation, Swelling"
Onychomycosis,Terbinafine, Itraconazole, Fluconazole,"Thickened nails, Yellow or brown discoloration, Brittle nails, Separation from nail bed, Odor"
Urethral Disorder,Ciprofloxacin, Doxycycline, Lidocaine gel,"Painful urination, Discharge, Frequency, Urgency, Incomplete emptying"
Lyme Disease,Doxycycline, Amoxicillin, Ceftriaxone,"Bull's eye rash, Fever, Fatigue, Joint pain, Headache, Muscle aches"
Iron Deficiency Anemia,Ferrous Sulfate, Ferrous Gluconate, Ferric Carboxymaltose,"Fatigue, Weakness, Pale skin, Shortness of breath, Cold hands, Brittle nails"
Acute Respiratory Distress Syndrome (ARDS),Methylprednisolone, Neuromuscular Blockers (Cisatracurium),,"Severe shortness of breath, Low oxygen, Rapid breathing, Confusion, Cyanosis"
Toxic Multinodular Goiter,Methimazole, Propylthiouracil, Propranolol,"Neck swelling, Difficulty swallowing, Hyperthyroidism symptoms, Weight loss, Palpitations"
Open Wound of the Finger,Amoxicillin-Clavulanate, Cephalexin, Tetanus Toxoid,"Pain, Bleeding, Swelling, Limited movement, Bruising"
Autonomic Nervous System Disorder,Fludrocortisone, Midodrine, Pyridostigmine,"Dizziness, Fainting, Abnormal sweating, Digestive problems, Urinary dysfunction"
Psychosexual Disorder,Sildenafil, Bupropion, Flibanserin,"Sexual dysfunction, Anxiety, Depression, Relationship problems, Loss of sexual interest"
Anemia,Ferrous Sulfate, Cyanocobalamin (B12), Folic Acid,"Fatigue, Weakness, Pale skin, Shortness of breath, Dizziness, Cold extremities"
Tendinitis,Ibuprofen, Naproxen, Triamcinolone,"Pain near joint, Tenderness, Mild swelling, Stiffness, Warmth, Limited movement"
Common Cold,Acetaminophen, Pseudoephedrine, Dextromethorphan,"Runny nose, Sneezing, Sore throat, Cough, Mild fever, Congestion"
lymphadenitis,Amoxicillin-Clavulanate,Clindamycin,Cephalexin,"Diarrhea, nausea, allergic reactions, C. difficile infection, skin rash"
injury to the face,Ibuprofen,Acetaminophen,Amoxicillin-Clavulanate (if infected),"GI upset, nausea, hepatotoxicity (acetaminophen overdose), renal impairment, allergic reactions"
aortic valve disease,Valve Replacement Surgery,Transcatheter Aortic Valve Implantation (TAVI),Furosemide (symptom management),"Bleeding, electrolyte imbalance, stroke risk, fluid shifts, infection"
rheumatoid arthritis,Methotrexate,Hydroxychloroquine,Leflunomide,"Hepatotoxicity, nausea, bone marrow suppression, retinopathy, diarrhea"
spermatocele,Ibuprofen (pain relief),Surgical Spermatocelectomy,Aspiration (if symptomatic),"GI upset, local pain and bruising, bleeding, infection, recurrence"
impetigo,Mupirocin (topical),Retapamulin (topical),Cephalexin (oral - extensive),"Local skin irritation, burning, allergic reactions, diarrhea, nausea"
anal fistula,Fistulotomy (surgical),Seton Placement,Infliximab (Crohn's-related),"Bleeding, infection, increased infection risk (infliximab), incontinence, pain"
hypothermia,Active External Rewarming,Warm IV Fluids (Normal Saline),Warmed Humidified Oxygen,"Rewarming arrhythmias, fluid overload, electrolyte imbalance, hypotension, mucosal dryness"
oppositional disorder,Behavioral Parent Training,Cognitive Behavioral Therapy (CBT),Risperidone (if severe),"Weight gain, sedation, emotional distress during therapy, extrapyramidal symptoms, metabolic changes"
migraine,Sumatriptan,Rizatriptan,Naproxen Sodium,"Chest tightness, dizziness, GI upset, rebound headache, flushing"
diabetic peripheral neuropathy,Duloxetine,Pregabalin,Gabapentin,"Dizziness, somnolence, nausea, peripheral edema, weight gain"
testicular disorder,Testosterone Replacement (hypogonadism),Orchiopexy (cryptorchidism),Ibuprofen (epididymo-orchitis adjunct),"Polycythemia, GI upset, bleeding, infection, testicular atrophy"
gestational diabetes,Medical Nutrition Therapy (MNT),Insulin (NPH/Regular),Metformin,"Hypoglycemia, nausea, GI upset, lactic acidosis (rare), nutritional deficiency"
hidradenitis suppurativa,Adalimumab,Clindamycin (topical),Tetracycline (oral),"Injection site reactions, increased infection risk, photosensitivity, nausea, skin dryness"
valley fever (coccidioidomycosis),Fluconazole,Itraconazole,Amphotericin B (severe),"Nausea, hepatotoxicity, nephrotoxicity (amphotericin), QT prolongation, electrolyte disturbance"
conjunctivitis due to bacteria,Erythromycin (ophthalmic),Azithromycin (ophthalmic),Trimethoprim-Polymyxin B,"Local eye irritation, burning, blurred vision, stinging, allergic conjunctivitis"
lewy body dementia,Rivastigmine,Donepezil,Carbidopa-Levodopa (motor symptoms),"Nausea, vomiting, bradycardia, hallucinations, orthostatic hypotension"
multiple myeloma,Bortezomib,Lenalidomide,Dexamethasone,"Peripheral neuropathy, thromboembolism, hyperglycemia, fatigue, myelosuppression"
head injury,Mannitol (increased ICP),Hypertonic Saline,Levetiracetam (seizure prophylaxis),"Electrolyte imbalance, renal impairment, irritability, hypotension, rebound ICP"
ascending cholangitis,Piperacillin-Tazobactam,Meropenem (severe),ERCP with biliary drainage,"Diarrhea, allergic reactions, pancreatitis (ERCP), C. difficile infection, nausea"
idiopathic irregular menstrual cycle,Combined Oral Contraceptive Pill,Medroxyprogesterone Acetate,Levonorgestrel IUD,"Nausea, irregular bleeding, thromboembolism, mood changes, headache"
interstitial lung disease,Nintedanib,Pirfenidone,Prednisone (inflammatory subtypes),"Diarrhea, nausea, photosensitivity, hepatotoxicity, hyperglycemia"
mononeuritis,Prednisone,Physical Therapy,Ibuprofen,"Hyperglycemia, GI upset, muscle soreness, osteoporosis, immunosuppression"
malaria,Artemether-Lumefantrine,Artesunate (severe),Hydroxychloroquine (P. vivax),"Headache, dizziness, nausea, QT prolongation, retinopathy (hydroxychloroquine)"
somatization disorder,Cognitive Behavioral Therapy (CBT),Antidepressants (SSRIs),Regular Scheduled Primary Care Visits,"Nausea, insomnia, sexual dysfunction, emotional distress during therapy, weight changes"
hypovolemia,IV Normal Saline,Lactated Ringer's Solution,Albumin (colloid),"Fluid overload, electrolyte disturbance, allergic reactions, hyperchloremic acidosis, phlebitis"
schizophrenia,Risperidone,Olanzapine,Haloperidol,"Weight gain, extrapyramidal symptoms, metabolic syndrome, sedation, QT prolongation"
knee ligament or meniscus tear,Physical Therapy,Arthroscopic Surgery,Ibuprofen,"Muscle soreness, GI upset, bleeding, infection, joint stiffness"
endocarditis,Penicillin G + Gentamicin,Vancomycin (MRSA),Ceftriaxone,"Nephrotoxicity, ototoxicity, allergic reactions, red man syndrome, hepatotoxicity"
